season,team_id,avg_massey_rank,std_massey_rank,min_massey_rank,max_massey_rank,median_massey_rank
2014,1101,331.86,26.93,103.0,351.0,340.0
2015,1101,316.93,23.54,224.0,351.0,323.0
2016,1101,317.87,16.71,243.0,351.0,320.0
2017,1101,284.81,36.57,120.0,347.0,294.0
2018,1101,247.1,24.59,165.0,339.0,246.0
2019,1101,157.59,33.89,21.0,279.0,157.0
2020,1101,212.66,40.12,85.0,335.0,205.0
2021,1101,100.03,28.25,8.0,189.0,97.0
2022,1101,129.62,26.43,37.0,285.0,133.0
2023,1101,210.39,38.09,76.0,341.0,209.0
2024,1101,218.87,35.3,72.0,303.0,223.0
2003,1102,144.29,25.58,52.0,219.0,149.0
2004,1102,61.16,46.67,7.0,280.0,42.0
2005,1102,88.21,28.11,9.0,198.0,88.0
2006,1102,46.64,14.19,18.0,104.0,46.0
2007,1102,20.02,12.85,2.0,88.0,17.0
2008,1102,163.83,30.6,42.0,287.0,165.0
2009,1102,220.32,45.38,106.0,323.0,230.0
2010,1102,224.59,30.62,59.0,323.0,227.0
2011,1102,132.23,34.98,30.0,277.0,125.0
2012,1102,158.03,25.82,74.0,290.0,158.0
2013,1102,99.69,27.67,38.0,202.0,94.0
2014,1102,225.68,37.93,85.0,339.0,226.0
2015,1102,203.07,32.64,102.0,286.0,203.0
2016,1102,213.48,41.85,63.0,317.0,215.0
2017,1102,207.68,29.26,61.0,311.0,209.0
2018,1102,249.89,31.69,92.0,328.0,249.0
2019,1102,238.29,26.32,163.0,328.0,235.0
2020,1102,206.51,31.11,88.0,344.0,206.0
2021,1102,276.69,40.99,132.0,347.0,288.0
2022,1102,229.1,41.44,49.0,347.0,232.0
2023,1102,171.69,39.37,67.0,340.0,163.0
2024,1102,222.67,43.02,31.0,328.0,230.0
2003,1103,182.2,25.59,99.0,284.0,181.0
2004,1103,137.94,37.43,23.0,252.0,145.0
2005,1103,101.26,40.17,33.0,269.0,89.0
2006,1103,87.65,40.53,21.0,241.0,74.0
2007,1103,79.79,26.18,16.0,182.0,76.0
2008,1103,78.44,19.2,35.0,180.0,76.5
2009,1103,111.09,22.18,54.0,211.0,111.0
2010,1103,110.38,24.91,70.0,223.0,105.0
2011,1103,131.84,27.96,30.0,229.0,132.0
2012,1103,84.77,28.49,20.0,234.0,78.0
2013,1103,63.57,28.06,14.0,235.0,55.0
2014,1103,111.52,25.7,43.0,216.0,111.0
2015,1103,112.94,16.93,52.0,181.0,113.0
2016,1103,77.67,23.32,19.0,224.0,77.0
2017,1103,83.95,21.7,16.0,156.0,86.0
2018,1103,216.69,41.3,64.0,294.0,223.0
2019,1103,134.18,27.7,48.0,224.0,131.0
2020,1103,84.08,25.03,19.0,207.0,81.5
2021,1103,112.23,35.64,11.0,332.0,107.0
2022,1103,140.41,28.01,51.0,327.0,139.0
2023,1103,117.36,21.06,43.0,216.0,114.0
2024,1103,100.75,24.08,31.0,279.0,98.0
2003,1104,27.66,13.37,1.0,106.0,30.0
2004,1104,40.06,14.96,10.0,178.0,38.0
2005,1104,20.66,9.66,7.0,86.0,18.0
2006,1104,62.43,28.73,8.0,170.0,57.0
2007,1104,35.49,18.81,3.0,125.0,33.0
2008,1104,94.66,21.8,22.0,159.0,95.0
2009,1104,113.63,28.44,29.0,240.0,110.0
2010,1104,78.14,15.5,44.0,147.0,77.0
2011,1104,95.27,51.58,25.0,330.0,79.0
2012,1104,29.41,11.11,2.0,66.0,29.0
2013,1104,68.48,19.36,12.0,138.0,68.0
2014,1104,100.81,30.39,34.0,211.0,98.0
2015,1104,63.45,15.45,22.0,130.0,61.0
2016,1104,82.58,26.48,24.0,257.0,81.0
2017,1104,78.81,22.92,41.0,209.0,72.0
2018,1104,46.9,11.97,1.0,103.0,47.0
2019,1104,55.99,15.56,15.0,206.0,54.0
2020,1104,66.44,28.65,18.0,245.0,60.0
2021,1104,20.58,20.4,3.0,108.0,10.0
2022,1104,18.18,7.89,1.0,57.0,19.0
2023,1104,6.01,5.94,1.0,44.0,4.0
2024,1104,13.83,11.69,1.0,77.0,10.0
2003,1105,305.38,13.43,185.0,323.0,309.0
2004,1105,287.48,25.54,148.0,320.0,294.0
2005,1105,267.47,33.89,119.0,325.0,276.0
2006,1105,269.1,38.73,80.0,329.0,278.0
2007,1105,318.66,26.21,202.0,336.0,328.0
2008,1105,316.78,25.05,207.0,339.0,325.0
2009,1105,319.06,30.67,120.0,346.0,332.0
2010,1105,327.14,18.18,203.0,347.0,332.0
2011,1105,307.29,21.01,203.0,345.0,310.0
2012,1105,321.89,34.13,62.0,345.0,333.0
2013,1105,325.16,25.17,74.0,346.0,332.0
2014,1105,305.72,21.46,201.0,345.0,310.0
2015,1105,332.65,10.51,257.0,349.0,335.0
2016,1105,285.6,38.63,96.0,345.0,294.5
2017,1105,350.11,3.17,307.0,351.0,351.0
2018,1105,348.39,2.9,327.0,351.0,349.0
2019,1105,346.64,3.72,327.0,353.0,347.0
2020,1105,331.99,19.32,233.0,353.0,339.0
2021,1105,275.44,79.94,23.0,350.0,311.0
2022,1105,333.28,13.12,272.0,356.0,336.0
2023,1105,328.27,16.91,216.0,363.0,330.0
2024,1105,341.47,13.26,207.0,362.0,343.0
2003,1106,243.26,25.03,166.0,307.0,245.0
2004,1106,285.78,27.06,107.0,323.0,292.0
2005,1106,261.75,29.69,91.0,322.0,265.0
2006,1106,291.75,18.82,219.0,323.0,296.0
2007,1106,301.08,21.16,188.0,328.0,306.0
2008,1106,235.63,36.0,123.0,335.0,233.0
2009,1106,230.33,40.35,93.0,331.0,229.0
2010,1106,302.36,20.99,220.0,346.0,307.0
2011,1106,309.9,26.15,147.0,338.0,318.0
2012,1106,308.79,15.0,228.0,344.0,310.0
2013,1106,327.72,13.3,197.0,346.0,331.0
2014,1106,269.79,37.4,103.0,347.0,271.0
2015,1106,247.95,35.67,75.0,322.0,252.0
2016,1106,286.63,33.7,114.0,346.0,295.0
2017,1106,339.06,7.89,267.0,350.0,341.0
2018,1106,340.74,4.86,319.0,351.0,342.0
2019,1106,314.27,23.08,164.0,349.0,321.0
2020,1106,329.34,13.9,216.0,349.0,333.0
2021,1106,339.3,20.11,152.0,357.0,342.0
2022,1106,321.24,22.43,118.0,357.0,324.0
2023,1106,344.37,11.0,262.0,363.0,347.0
2024,1106,289.24,38.01,157.0,356.0,299.0
2003,1107,291.99,19.83,181.0,316.0,296.5
2004,1107,302.24,19.48,149.0,319.0,308.0
2005,1107,215.69,38.95,87.0,319.0,210.5
2006,1107,167.89,34.62,47.0,268.0,165.0
2007,1107,138.65,30.06,33.0,254.0,138.5
2008,1107,200.02,30.57,91.0,268.0,206.0
2009,1107,181.04,43.72,90.0,306.0,177.0
2010,1107,288.27,26.4,181.0,335.0,291.0
2011,1107,237.9,22.09,173.0,330.0,235.0
2012,1107,204.28,27.56,115.0,297.0,204.0
2013,1107,144.19,35.9,25.0,241.0,148.0
2014,1107,201.1,30.38,82.0,285.0,202.0
2015,1107,154.89,39.7,52.0,302.0,149.0
2016,1107,121.28,22.93,48.0,275.0,121.0
2017,1107,153.16,22.76,70.0,241.0,154.0
2018,1107,134.36,23.95,31.0,351.0,135.0
2019,1107,281.69,30.36,136.0,348.0,285.0
2020,1107,242.56,26.42,140.0,340.0,242.0
2021,1107,232.53,44.78,60.0,345.0,234.0
2022,1107,285.1,24.44,191.0,358.0,283.0
2023,1107,334.33,18.28,176.0,356.0,339.0
2024,1107,246.87,34.23,137.0,346.0,252.0
2003,1108,281.05,19.91,154.0,316.0,285.0
2004,1108,304.45,15.21,208.0,326.0,307.0
2005,1108,320.56,8.63,253.0,330.0,323.0
2006,1108,305.25,15.62,221.0,330.0,309.0
2007,1108,319.39,11.98,236.0,336.0,322.0
2008,1108,336.64,3.23,310.0,341.0,337.0
2009,1108,341.58,4.15,318.0,347.0,342.0
2010,1108,344.2,9.4,239.0,347.0,347.0
2011,1108,334.24,23.77,105.0,345.0,341.0
2012,1108,330.7,14.28,225.0,345.0,335.0
2013,1108,307.96,22.35,141.0,346.0,311.0
2014,1108,321.26,20.88,103.0,351.0,323.0
2015,1108,343.15,8.57,202.0,351.0,346.0
2016,1108,321.1,30.91,198.0,351.0,332.0
2017,1108,301.75,32.48,178.0,349.0,308.0
2018,1108,333.45,14.33,235.0,351.0,337.0
2019,1108,339.92,17.36,74.0,353.0,344.0
2020,1108,311.39,26.84,218.0,353.0,318.0
2021,1108,325.58,23.14,121.0,357.0,332.0
2022,1108,278.53,32.04,74.0,353.0,278.0
2023,1108,241.87,38.59,42.0,327.0,245.0
2024,1108,314.01,26.3,131.0,361.0,317.0
2003,1110,198.24,30.13,87.0,268.0,198.0
2004,1110,197.21,30.74,70.0,282.0,199.0
2005,1110,157.27,32.78,49.0,305.0,160.0
2006,1110,243.96,28.51,134.0,286.0,251.0
2007,1110,195.4,27.98,65.0,269.0,198.0
2008,1110,161.65,32.43,85.0,275.0,160.0
2009,1110,124.33,30.04,35.0,252.0,124.0
2010,1110,303.09,28.66,105.0,346.0,305.0
2011,1110,142.79,40.18,64.0,293.0,134.0
2012,1110,170.95,31.75,64.0,287.0,173.0
2013,1110,261.44,31.0,59.0,337.0,268.0
2014,1110,171.57,55.51,40.0,346.0,157.5
2015,1110,168.37,30.36,74.0,256.0,169.0
2016,1110,307.2,33.24,185.0,350.0,313.5
2017,1110,300.75,21.08,167.0,342.0,304.0
2018,1110,317.31,21.13,127.0,344.0,324.0
2019,1110,206.36,32.29,79.0,333.0,205.0
2020,1110,226.53,25.59,124.0,334.0,224.0
2021,1110,213.95,44.57,59.0,352.0,211.0
2022,1110,322.83,25.05,98.0,355.0,329.0
2023,1110,218.09,55.88,64.0,354.0,224.0
2024,1110,277.17,23.18,134.0,346.0,278.0
2003,1111,129.0,38.69,51.0,268.0,129.0
2004,1111,210.12,27.6,116.0,268.0,214.0
2005,1111,189.54,33.29,44.0,269.0,188.5
2006,1111,215.72,33.34,101.0,282.0,224.0
