season,team_id,Games,Wins,WinPct,PointsScored_mean,PointsScored_std,PointsAllowed_mean,PointsAllowed_std,FGM_mean,FGA_mean,FGM3_mean,FGA3_mean,FTM_mean,FTA_mean,OR_mean,DR_mean,Ast_mean,TO_mean,Stl_mean,Blk_mean,data_quality,FGPct,FG3Pct,FTPct,RebMargin,AssistToTurnover,ScoringMargin,Possessions,Pace,eFG_Pct,OffRating,DefRating,NetRating,AssistPct,advanced_stats_quality
2014,1101,21.0,2.0,0.09523809523809523,63.142857142857146,14.203118369871154,78.61904761904762,11.51727480993742,20.333333333333332,50.142857142857146,6.666666666666667,17.857142857142858,15.80952380952381,21.19047619047619,8.0,20.333333333333332,10.0,15.0,5.761904761904762,1.4761904761904763,valid,0.4055080721747388,0.37333333333333335,0.7460674157303371,28.333333333333332,0.6666666666666666,-15.476190476190474,72.53133212500686,72.53,0.47,87.06,108.39,-21.34,49.18,valid
2015,1101,28.0,7.0,0.25,61.0,16.154348113215928,71.85714285714286,10.868623837771928,21.428571428571427,52.92857142857143,7.25,19.178571428571427,10.892857142857142,14.964285714285714,8.25,19.642857142857142,11.857142857142858,12.821428571428571,5.928571428571429,1.1785714285714286,valid,0.40485829959514164,0.378026070763501,0.7279236276849642,27.892857142857142,0.924791086350975,-10.857142857142861,67.26342587138758,67.26,0.47,90.69,106.83,-16.14,55.33,valid
2016,1101,27.0,9.0,0.3333333333333333,69.85185185185185,11.792121567136721,76.25925925925925,11.271449953115347,23.814814814814813,53.925925925925924,6.851851851851852,18.85185185185185,15.37037037037037,21.74074074074074,8.185185185185185,22.51851851851852,12.88888888888889,13.407407407407407,6.7407407407407405,2.4444444444444446,valid,0.4416208791208791,0.36345776031434185,0.706984667802385,30.703703703703702,0.9613259668508288,-6.407407407407405,70.53362651393468,70.53,0.51,99.03,108.12,-9.08,54.12,valid
2017,1101,25.0,9.0,0.36,67.88,11.519259235442755,72.64,10.387813372729923,24.44,53.32,7.08,19.08,11.92,18.56,7.56,22.88,13.6,14.48,7.0,2.76,valid,0.458364591147787,0.37106918238993714,0.6422413793103449,30.439999999999998,0.9392265193370165,-4.760000000000005,69.91776529223327,69.92,0.52,97.09,103.89,-6.81,55.65,valid
2018,1101,27.0,12.0,0.4444444444444444,70.66666666666667,9.380831519646863,72.81481481481481,7.785771228223549,25.51851851851852,56.48148148148148,6.481481481481482,19.962962962962962,13.148148148148149,18.666666666666668,9.037037037037036,23.22222222222222,13.88888888888889,14.407407407407407,7.148148148148148,3.6296296296296298,valid,0.4518032786885246,0.32467532467532473,0.7043650793650793,32.25925925925926,0.9640102827763497,-2.148148148148138,70.12436167636079,70.12,0.51,100.77,103.84,-3.06,54.43,valid
2019,1101,29.0,23.0,0.7931034482758621,71.72413793103448,8.871690738056873,64.89655172413794,10.223728798333408,25.344827586206897,55.241379310344826,7.241379310344827,18.896551724137932,13.793103448275861,19.06896551724138,9.068965517241379,22.896551724137932,14.620689655172415,11.655172413793103,8.0,2.5517241379310347,valid,0.45880149812734083,0.38321167883211676,0.7233273056057865,31.96551724137931,1.2544378698224854,6.827586206896541,62.3333288861777,62.33,0.52,115.07,104.11,10.95,57.69,valid
2020,1101,27.0,16.0,0.5925925925925926,72.77777777777777,8.763268328361958,68.77777777777777,9.3575692657924,24.59259259259259,56.074074074074076,6.481481481481482,20.59259259259259,17.11111111111111,23.037037037037038,10.037037037037036,21.814814814814813,13.592592592592593,14.74074074074074,9.0,2.6666666666666665,valid,0.4385733157199471,0.31474820143884896,0.742765273311897,31.851851851851848,0.9221105527638191,4.0,67.50729494184402,67.51,0.5,107.81,101.88,5.93,55.27,valid
2021,1101,23.0,19.0,0.8260869565217391,76.30434782608695,11.530334626574831,61.73913043478261,11.091427448523017,27.17391304347826,59.04347826086956,8.130434782608695,21.565217391304348,13.826086956521738,20.08695652173913,9.608695652173912,22.82608695652174,18.17391304347826,13.434782608695652,9.347826086956522,3.0,valid,0.4602356406480118,0.37701612903225806,0.6883116883116883,32.43478260869565,1.3527508090614888,14.565217391304344,63.6907749418925,63.69,0.53,119.8,96.94,22.87,66.88,valid
2022,1101,29.0,19.0,0.6551724137931034,73.17241379310344,10.333955699251314,68.41379310344827,10.920221221527228,24.82758620689655,58.89655172413793,6.689655172413793,21.310344827586206,16.82758620689655,22.655172413793103,8.758620689655173,20.06896551724138,14.068965517241379,12.0,10.448275862068966,1.7241379310344827,valid,0.4215456674473068,0.313915857605178,0.7427701674277016,28.827586206896555,1.1724137931034482,4.758620689655174,66.6431147938155,66.64,0.48,109.8,102.66,7.14,56.67,valid
2023,1101,26.0,9.0,0.34615384615384615,71.1923076923077,11.398312965590057,74.88461538461539,10.424305916757906,25.384615384615383,58.34615384615385,6.6923076923076925,19.5,13.73076923076923,18.846153846153847,7.615384615384615,19.615384615384617,14.76923076923077,11.846153846153847,7.961538461538462,1.9615384615384615,valid,0.4350692155570204,0.3431952662721894,0.7285714285714285,27.230769230769234,1.2467532467532467,-3.6923076923076934,69.62738166655748,69.63,0.49,102.25,107.55,-5.3,58.18,valid
