Season,CoachName,TeamID,RegularSeasonWinPct,TournamentWinPct,Experience,RegularSeasonGames,TournamentGames
2003,al_skinner,1130,0.621,0.0,1,29,0
2003,al_walker,1127,0.519,0.0,1,27,0
2003,andy_stoglin,1238,0.357,0.0,1,28,0
2003,armond_hill,1162,0.074,0.0,1,27,0
2003,barry_collier,1304,0.379,0.0,1,29,0
2003,barry_hinson,1283,0.586,0.0,1,29,0
2003,bart_bellairs,1440,0.296,0.0,1,27,0
2003,ben_braun,1143,0.724,0.0,1,29,0
2003,ben_howland,1338,0.867,0.0,1,30,0
2003,ben_jobe,1380,0.259,0.0,1,27,0
2003,bill_carmody,1321,0.414,0.0,1,29,0
2003,bill_evans,1381,0.346,0.0,1,26,0
2003,bill_herrion,1187,0.4,0.0,1,25,0
2003,bill_self,1228,0.8,0.0,1,30,0
2003,billy_donovan,1196,0.774,0.0,1,31,0
2003,billy_gillispie,1431,0.172,0.0,1,29,0
2003,billy_hahn,1247,0.414,0.0,1,29,0
2003,billy_kennedy,1368,0.36,0.0,1,25,0
2003,billy_lee,1144,0.154,0.0,1,26,0
2003,billy_taylor,1250,0.538,0.0,1,26,0
2003,blaine_taylor,1330,0.444,0.0,1,27,0
2003,bo_ryan,1458,0.759,0.0,1,29,0
2003,bob_hill,1200,0.071,0.0,1,28,0
2003,bob_hoffman,1410,0.231,0.0,1,26,0
2003,bob_huggins,1153,0.607,0.0,1,28,0
2003,bob_knight,1403,0.6,0.0,1,30,0
2003,bob_leckie,1389,0.345,0.0,1,29,0
2003,bob_marlin,1358,0.778,0.0,1,27,0
2003,bob_mckillop,1172,0.583,0.0,1,24,0
2003,bob_thomason,1334,0.429,0.0,1,28,0
2003,bob_williams,1364,0.581,0.0,1,31,0
2003,bobby_braswell,1169,0.464,0.0,1,28,0
2003,bobby_collins,1214,0.633,0.0,1,30,0
2003,bobby_gonzalez,1264,0.793,0.0,1,29,0
2003,bobby_jones,1384,0.5,0.0,1,28,0
2003,bobby_lutz,1150,0.448,0.0,1,29,0
2003,brad_brownell,1423,0.8,0.0,1,30,0
2003,brad_holland,1360,0.607,0.0,1,28,0
2003,brad_soderberg,1387,0.552,0.0,1,29,0
2003,bret_campbell,1404,0.417,0.0,1,24,0
2003,bruce_pearl,1454,0.767,0.0,1,30,0
2003,bruce_weber,1356,0.8,0.0,1,30,0
2003,bruiser_flint,1180,0.621,0.0,1,29,0
2003,butch_beard,1288,0.241,0.0,1,29,0
2003,buzz_peterson,1397,0.607,0.0,1,28,0
2003,byron_samuels,1347,0.333,0.0,1,30,0
2003,c_j_reed,1126,0.267,0.0,1,30,0
2003,charles_spoonhour,1424,0.677,0.0,1,31,0
2003,charlie_coles,1275,0.444,0.0,1,27,0
2003,cliff_ellis,1120,0.633,0.0,1,30,0
2003,craig_esherick,1207,0.517,0.0,1,29,0
2003,curtis_hunter,1299,0.038,0.0,1,26,0
2003,cy_alexander,1354,0.667,0.0,1,30,0
2003,dale_layer,1161,0.567,0.0,1,30,0
2003,dan_dakich,1132,0.407,0.0,1,27,0
2003,dan_hipsher,1103,0.481,0.0,1,27,0
2003,dan_monson,1278,0.571,0.0,1,28,0
